countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
MDG,Madagascar,,national,,2024-02-05,SURVEY,8925665,0.34000836529681755,7047957,0.26848019051277755,2334957,0.08894629631992625,3198806,0.1218531985228811
MDG,Madagascar,,national,,2024-02-04,SURVEY,8890073,0.33865254724430893,6980443,0.265908359296647,2306705,0.08787009253377345,3234177,0.1232005956065989
MDG,Madagascar,,national,,2024-02-03,SURVEY,8942698,0.3406572091068979,6958835,0.2650852471743315,2311017,0.08803434395521402,3193163,0.12163823822823205
MDG,Madagascar,,national,,2024-02-02,SURVEY,8807903,0.33552241773839103,6960830,0.26516124338175884,2220963,0.08460388953043697,3110891,0.11850422183492487
MDG,Madagascar,,national,,2024-02-01,SURVEY,8819689,0.3359713789911186,6840218,0.2605667298127217,2276269,0.08671068747278989,3174048,0.12091008786160695
MDG,Madagascar,,national,,2024-01-31,SURVEY,8755748,0.3335356641664011,6938080,0.26429461996372755,2265597,0.08630415292311051,3150623,0.12001773718676223
MDG,Madagascar,,national,,2024-01-30,SURVEY,8791549,0.3348994437444362,6874749,0.2618821308346136,2310569,0.08801728020261501,3099897,0.11808541944181973
MDG,Madagascar,,national,,2024-01-29,SURVEY,8705557,0.3316237170640246,6940950,0.2644039478410792,2357498,0.0898049599036026,3124707,0.11903051709253562
MDG,Madagascar,,national,,2024-01-28,SURVEY,8804760,0.33540269038002296,6863595,0.2614572377530874,2342642,0.08923905230629772,3088359,0.11764589798594063
MDG,Madagascar,,national,,2024-01-27,SURVEY,8762963,0.33381050317107985,6826537,0.2600455748684542,2332305,0.08884528339395241,3105052,0.11828179021191126
MDG,Madagascar,,national,,2024-01-26,SURVEY,8784044,0.3346135488095642,6828722,0.26012880880992223,2374345,0.0904467249294712,3123811,0.11899638344904022
MDG,Madagascar,,national,,2024-01-25,SURVEY,8784712,0.3346389951587178,6826319,0.2600372665214061,2436796,0.0928256898223696,3177938,0.12105826240632071
MDG,Madagascar,,national,,2024-01-24,SURVEY,8753397,0.33344610230879906,6725495,0.2561965479056093,2420345,0.09219901773869987,3181357,0.12118849981782934
MDG,Madagascar,,national,,2024-01-23,SURVEY,8709000,0.33175487242350954,6767554,0.2577987121044845,2203441,0.08393642238270543,3164921,0.12056238766009193
MDG,Madagascar,,national,,2024-01-22,SURVEY,8666586,0.3301391816256027,6718251,0.2559205963328353,2230149,0.08495381022822679,3225671,0.12287657014856482
MDG,Madagascar,,national,,2024-01-21,SURVEY,8499685,0.3237813655775655,6719571,0.25597088297688764,2294292,0.0873972405992406,3235719,0.12325933193077472
MDG,Madagascar,,national,,2024-01-20,SURVEY,8392839,0.31971124488644564,6600917,0.25145095616180674,2274173,0.08663084472411088,3257857,0.12410263109206451
MDG,Madagascar,,national,,2024-01-19,SURVEY,8387239,0.31949792219893025,6654188,0.2534802263201341,2345696,0.08935538134001274,3314347,0.12625453093825376
MDG,Madagascar,,national,,2024-01-18,SURVEY,8470996,0.32268850583075664,6631425,0.2526131040767649,2330389,0.08877228666901325,3271744,0.1246316400938065
MDG,Madagascar,,national,,2024-01-17,SURVEY,8462021,0.3223466077997803,6679204,0.2544331692399351,2338955,0.0890985947261741,3312462,0.12618273300783223
MDG,Madagascar,,national,,2024-01-16,SURVEY,8318049,0.31686224420800335,6548758,0.24946404579428608,2327458,0.08866063128850661,3366272,0.1282325301843431
MDG,Madagascar,,national,,2024-01-15,SURVEY,8328887,0.31727508066808213,6542832,0.2492383046788903,2330752,0.08878611637684942,3345785,0.12745211957177977
MDG,Madagascar,,national,,2024-01-14,SURVEY,8392108,0.31968339865705747,6615137,0.2519926434147477,2271681,0.08653590716211708,3332906,0.12696151547005163
MDG,Madagascar,,national,,2024-01-13,SURVEY,8483000,0.3231457782487807,6693311,0.2549705639355768,2331683,0.08882158487654218,3366763,0.12825123756641513
